order_id,product,region,quantity,price,timestamp
ORD-0001,Keyboard,Davao,12,3106.63,2026-05-12T14:47:22.566680
ORD-0002,Monitor,Davao,14,1477.61,2026-05-12T14:46:22.566738
ORD-0003,Headset,NCR,18,4199.53,2026-05-12T14:45:22.566754
ORD-0004,Mouse,Davao,19,2967.37,2026-05-12T14:44:22.566766
ORD-0005,Keyboard,Iloilo,16,3726.6,2026-05-12T14:43:22.566776
ORD-0006,Headset,Pampanga,20,877.96,2026-05-12T14:42:22.566786
ORD-0007,Mouse,Iloilo,5,2338.49,2026-05-12T14:41:22.566796
ORD-0008,Monitor,Davao,18,1403.91,2026-05-12T14:40:22.566805
ORD-0009,Monitor,Davao,18,2997.17,2026-05-12T14:39:22.566815
ORD-0010,Webcam,Cebu,12,2252.61,2026-05-12T14:38:22.566824
ORD-0011,Keyboard,NCR,14,3797.4,2026-05-12T14:37:22.566834
ORD-0012,Webcam,Davao,11,1485.79,2026-05-12T14:36:22.566843
ORD-0013,Monitor,Iloilo,16,4918.85,2026-05-12T14:35:22.566853
ORD-0014,Headset,Cebu,11,1329.23,2026-05-12T14:34:22.566862
ORD-0015,Keyboard,Cebu,19,2008.04,2026-05-12T14:33:22.566871
ORD-0016,Mouse,Iloilo,20,755.45,2026-05-12T14:32:22.566880
ORD-0017,Webcam,NCR,15,559.8,2026-05-12T14:31:22.566890
ORD-0018,Webcam,Iloilo,20,2306.99,2026-05-12T14:30:22.566900
ORD-0019,Webcam,NCR,12,1637.49,2026-05-12T14:29:22.566909
ORD-0020,Headset,Pampanga,9,555.23,2026-05-12T14:28:22.566919
ORD-0021,Mouse,Iloilo,11,2590.93,2026-05-12T14:27:22.566928
ORD-0022,Keyboard,Iloilo,10,2026.23,2026-05-12T14:26:22.566938
ORD-0023,Webcam,Iloilo,10,4380.89,2026-05-12T14:25:22.566947
ORD-0024,Mouse,Pampanga,9,1804.27,2026-05-12T14:24:22.566957
ORD-0025,Mouse,Cebu,13,4210.53,2026-05-12T14:23:22.566966
ORD-0026,Monitor,Iloilo,15,4254.09,2026-05-12T14:22:22.566975
ORD-0027,Mouse,Pampanga,20,2112.03,2026-05-12T14:21:22.566985
ORD-0028,Mouse,Davao,17,2119.61,2026-05-12T14:20:22.566994
ORD-0029,Monitor,Pampanga,19,2926.86,2026-05-12T14:19:22.567007
ORD-0030,Mouse,Cebu,5,2920.43,2026-05-12T14:18:22.567016
ORD-0031,Mouse,NCR,11,2088.94,2026-05-12T14:17:22.567026
ORD-0032,Webcam,Pampanga,20,520.66,2026-05-12T14:16:22.567035
ORD-0033,Mouse,Cebu,19,4818.9,2026-05-12T14:15:22.567045
ORD-0034,Mouse,Davao,1,2602.95,2026-05-12T14:14:22.567055
ORD-0035,Keyboard,Iloilo,9,2903.5,2026-05-12T14:13:22.567064
ORD-0036,Keyboard,NCR,20,1302.9,2026-05-12T14:12:22.567074
ORD-0037,Monitor,Iloilo,11,3497.95,2026-05-12T14:11:22.567083
ORD-0038,Mouse,Iloilo,4,1534.95,2026-05-12T14:10:22.567092
ORD-0039,Webcam,Davao,12,2436.87,2026-05-12T14:09:22.567101
ORD-0040,Keyboard,NCR,10,4583.9,2026-05-12T14:08:22.567111
ORD-0041,Mouse,Iloilo,12,4072.03,2026-05-12T14:07:22.567133
ORD-0042,Keyboard,Pampanga,5,1454.61,2026-05-12T14:06:22.567145
ORD-0043,Keyboard,Iloilo,13,1085.99,2026-05-12T14:05:22.567155
ORD-0044,Headset,Pampanga,14,2020.71,2026-05-12T14:04:22.567167
ORD-0045,Monitor,Iloilo,18,1830.87,2026-05-12T14:03:22.567178
ORD-0046,Keyboard,Davao,17,4430.17,2026-05-12T14:02:22.567187
ORD-0047,Headset,NCR,11,2296.13,2026-05-12T14:01:22.567197
ORD-0048,Headset,Pampanga,4,1875.65,2026-05-12T14:00:22.567214
ORD-0049,Monitor,NCR,9,3174.78,2026-05-12T13:59:22.567224
ORD-0050,Keyboard,Cebu,17,4467.7,2026-05-12T13:58:22.567233
ORD-0051,Monitor,Davao,2,4296.3,2026-05-12T13:57:22.567242
ORD-0052,Mouse,Cebu,12,2418.09,2026-05-12T13:56:22.567253
ORD-0053,Mouse,Pampanga,18,4657.3,2026-05-12T13:55:22.567264
ORD-0054,Keyboard,Iloilo,13,1901.42,2026-05-12T13:54:22.567273
ORD-0055,Webcam,Iloilo,7,761.04,2026-05-12T13:53:22.567282
ORD-0056,Monitor,Davao,18,4513.51,2026-05-12T13:52:22.567291
ORD-0057,Mouse,NCR,19,4040.37,2026-05-12T13:51:22.567301
ORD-0058,Webcam,Davao,1,2686.25,2026-05-12T13:50:22.567310
ORD-0059,Headset,Davao,13,1239.62,2026-05-12T13:49:22.567320
ORD-0060,Mouse,Davao,9,3459.94,2026-05-12T13:48:22.567329
